"CustomerID","MeanValue","LastTransaction","NoTransaction","MonetoryPercentile","FrequencyPercentile","RecencyPercentile","MonetoryScore","FrequencyScore","RecencyScore","MonetoryWeightedScore","FrequencyWeightedScore","RecencyWeightedScore","FinalScore","FinalWeightedScore","FinalCustomerClass","final_type"
"1301",230.0974,2004-02-21,6,0.865937072503463,0.689466484268126,0.628077975376196,5,4,4,25,20,20,65,4.33333333333333,"Class-4","Hotel & Casino"
"1303",43.492,2004-12-31,30,0.448187414500667,0.956224350205199,0.985294117647058,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
"1304",2871.36,2004-11-09,14,0.990937072503487,0.875341997264022,0.876025991792065,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1305",-8.1378125,2004-11-21,32,0.038987688098495,0.960499316005472,0.895348837209302,1,5,5,5,25,25,55,3.66666666666667,"Class-3","Casino"
"1306",25.24,2003-10-29,3,0.314124487004101,0.497435020519836,0.577120383036935,2,3,3,10,15,15,40,2.66666666666667,"Class-2","Casino"
"1307",69.5733333333333,2004-09-14,3,0.595075239398078,0.497435020519836,0.783173734610122,3,3,4,15,15,20,50,3.33333333333333,"Class-3","Casino"
"1308",181.07,2002-07-09,1,0.829514363885125,0,0.252735978112175,5,1,2,25,5,10,40,2.66666666666667,"Class-2","Casino"
"1309",187.426025,2004-09-18,4,0.836354309165564,0.581395348837209,0.810020519835841,5,3,5,25,15,25,65,4.33333333333333,"Class-4","Casino"
"131",151.148,2003-08-08,5,0.797537619699072,0.642612859097127,0.547366621067031,4,4,3,20,20,15,55,3.66666666666667,"Class-3","Casino"
"1310",91.1272,2003-05-30,6,0.678864569083455,0.689466484268126,0.522229822161422,4,4,3,20,20,15,55,3.66666666666667,"Class-3","Hotel & Casino"
"1312",317.790621212121,2004-11-24,33,0.905095759233977,0.962722298221614,0.902530779753762,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1313",7.09777777777778,2004-05-19,9,0.142441860465118,0.790697674418605,0.682797537619698,1,4,4,5,20,20,45,3,"Class-3","Casino"
"1314",10.1975,2004-09-14,4,0.168775649794804,0.581395348837209,0.783173734610122,1,3,4,5,15,20,40,2.66666666666667,"Class-2","Casino"
"1315",188.953333333333,2005-01-01,6,0.837209302325619,0.689466484268126,0.989740082079343,5,4,5,25,20,25,70,4.66666666666667,"Class-4","Casino"
"1316",24.63,2002-02-10,1,0.306942544459643,0,0.0391586867305062,2,1,1,10,5,5,20,1.33333333333333,"Class-1","Casino"
"1317",-71.08792,2004-12-12,25,0.0184678522571819,0.941860465116279,0.936559507523939,1,5,5,5,25,25,55,3.66666666666667,"Class-3","Casino"
"1318",30.8616666666667,2004-11-22,6,0.363201094391237,0.689466484268126,0.898084815321477,2,4,5,10,20,25,55,3.66666666666667,"Class-3","Casino"
"1319",83.2147454545455,2004-09-25,22,0.649452804377567,0.930232558139535,0.817544459644322,4,5,5,20,25,25,70,4.66666666666667,"Class-4","Hotel & Casino"
"132",420.763818181818,2004-12-05,110,0.929548563611546,0.993160054719563,0.922537619699042,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1321",71.3461904761905,2004-10-08,21,0.601744186046506,0.926470588235294,0.833618331053351,4,5,5,20,25,25,70,4.66666666666667,"Class-4","Casino"
"1322",211.48125,2004-10-01,8,0.854651162790739,0.763337893296854,0.824897400820793,5,4,5,25,20,25,70,4.66666666666667,"Class-4","Casino"
"1323",10.7966666666667,2004-09-26,15,0.174247606019154,0.885601915184679,0.818741450068399,1,5,5,5,25,25,55,3.66666666666667,"Class-3","Casino"
"1324",11.7975,2003-11-28,8,0.185191518467855,0.763337893296854,0.589261285909712,1,4,3,5,20,15,40,2.66666666666667,"Class-2","Casino"
"1325",47.2614285714286,2004-07-05,7,0.47469220246236,0.732045143638851,0.711525307797537,3,4,4,15,20,20,55,3.66666666666667,"Class-3","Casino"
"1326",67.516,2003-03-12,2,0.586867305061551,0.352941176470588,0.502906976744185,3,2,3,15,10,15,40,2.66666666666667,"Class-2","Hotel"
"1327",468.9565,2004-12-28,12,0.938611491108128,0.850205198358413,0.972469220246237,5,5,5,25,25,25,75,5,"Class-5","Casino"
"1328",68.36,2002-07-27,1,0.59011627906976,0,0.280608755129959,3,1,2,15,5,10,30,2,"Class-2","Casino"
"1329",37.6265,2004-12-21,20,0.410738714090274,0.919972640218878,0.958618331053351,3,5,5,15,25,25,65,4.33333333333333,"Class-4","Casino"
