CustomerID,MeanValue,LastTransaction,NoTransaction,Total Earnings,MonetoryPercentile,FrequencyPercentile,RecencyPercentile,MonetoryScore,FrequencyScore,RecencyScore,MonetoryWeightedScore,FrequencyWeightedScore,RecencyWeightedScore,FinalScore,FinalWeightedScore,Class Def,FinalCustomerClass,final_type
1165,6.426666667,1/14/2004,3,19.28,0.134746922,0.497435021,0.610123119,1,3,4,5,15,20,40,2.666666667,All but little less freq,Class-2,Casino
1166,18.623,10/16/2004,10,186.23,0.254616963,0.815492476,0.84370725,2,5,5,10,25,25,60,4,Regulars and High Values,Class-4,Casino
1167,560.88,1/4/2002,1,560.88,0.949042408,0,0.001367989,5,1,1,25,5,5,35,2.333333333,All but little less freq,Class-2,Casino
1168,358.3784571,10/8/2004,7,2508.6492,0.915697674,0.732045144,0.833618331,5,4,5,25,20,25,70,4.666666667,Regulars and High Values,Class-4,Hotel & Casino
117,397.1406346,11/14/2004,26,10325.6565,0.923905609,0.944767442,0.883549932,5,5,5,25,25,25,75,5,All Highs,Class-5,Casino
1170,-173.0513,3/10/2004,4,-692.2052,0.009575923,0.581395349,0.639534884,1,3,4,5,15,20,40,2.666666667,All but little less freq,Class-2,Hotel & Casino
1172,145.6744068,12/12/2004,59,8594.79,0.790355677,0.982900137,0.936559508,4,5,5,20,25,25,70,4.666666667,Regulars and High Values,Class-4,Casino
1173,-35.068,10/23/2004,5,-175.34,0.025991792,0.642612859,0.852770178,1,4,5,5,20,25,50,3.333333333,Moderate to High,Class-3,Casino
1174,10.45875,10/23/2003,8,83.67,0.170998632,0.763337893,0.575068399,1,4,3,5,20,15,40,2.666666667,All but little less freq,Class-2,Casino
1175,187.0219833,10/2/2004,6,1122.1319,0.835841313,0.689466484,0.826436389,5,4,5,25,20,25,70,4.666666667,Regulars and High Values,Class-4,Casino
