bad_flag,tenure,margin,amtfin,exist
0,46,0.200787402,13.83039917,1
0,47,0.102899267,12.19602231,1
1,45,0.110902256,14.67628858,1
0,42,0.305866689,13.21767356,0
0,59,0,14.17124396,0
1,45,0.050451659,13.87942388,0
0,71,0,13.64815643,0
0,47,0.102354174,13.84991198,1
0,48,0.095783988,12.70426885,1
0,34,0.101102744,12.64432758,1
0,45,0.142156863,13.45883561,1
0,36,0,12.96322227,1
0,36,0,12.96322227,1
0,44,0.320987654,12.52452638,0
0,45,0.152435962,13.60478953,1
0,47,0.100000487,14.07314056,1
0,47,0.150634789,13.78401989,1
0,47,0.397585354,14.32653616,0
0,33,0.276714984,12.0532128,1
